,A,B,gates,depth,2-gates,RZ,SX,CZ
793,67,233,382,294,72,135,165,72
794,67,234,380,287,70,138,161,70
795,67,240,378,281,68,139,160,68
796,67,241,377,285,68,138,160,68
797,67,249,377,284,68,138,160,68
798,67,251,381,289,70,138,161,70
799,67,252,370,278,68,132,160,68
800,67,254,374,281,68,136,160,68
801,67,256,380,284,68,141,160,68
802,67,261,377,282,68,139,160,68
803,67,262,384,294,72,137,165,72
804,67,263,379,287,70,137,161,70
805,67,302,375,280,68,136,160,68
806,67,306,385,292,72,137,165,72
807,67,317,378,286,70,136,161,70
808,67,325,377,283,70,133,165,70
809,67,334,377,287,70,135,161,70
810,67,335,376,283,68,137,160,68
811,67,336,384,296,72,137,165,72
812,67,337,383,291,72,136,165,72
813,67,342,380,292,72,133,165,72
814,67,345,383,293,72,136,165,72
815,67,346,381,287,70,138,161,70
816,67,351,376,281,68,138,160,68
817,67,353,379,288,70,137,161,70
818,67,354,393,298,72,142,169,72
819,67,365,376,284,68,138,160,68
820,67,380,375,283,70,134,161,70
821,67,383,380,289,72,133,165,72
822,67,404,380,283,68,141,160,68
823,67,406,379,285,70,135,165,70
824,67,411,379,286,70,135,165,70
825,67,416,384,291,72,137,165,72
826,67,419,380,291,72,134,165,72
827,67,420,380,286,68,141,160,68
828,67,421,375,280,68,137,160,68
829,67,424,383,288,70,139,165,70
830,67,425,377,284,68,138,160,68
831,67,426,383,287,70,139,165,70
832,67,428,374,286,72,127,165,72
833,67,435,376,281,68,138,160,68
834,69,74,385,288,70,140,163,70
835,69,77,391,291,70,144,165,70
836,69,81,379,285,72,131,164,72
837,69,82,384,289,70,139,163,70
838,69,83,389,294,70,143,163,70
839,69,84,382,288,70,137,163,70
840,69,85,387,289,70,141,165,70
841,69,93,381,290,72,134,164,72
842,69,98,385,285,68,143,162,68
843,69,99,386,290,70,141,163,70
844,69,104,382,287,72,134,164,72
845,69,106,384,292,72,137,164,72
846,69,107,382,288,70,137,163,70
847,69,109,386,287,68,144,162,68
848,69,113,395,295,68,149,166,68
849,69,114,387,287,68,145,162,68
850,69,115,387,291,70,141,163,70
851,69,117,381,285,70,137,163,70
852,69,165,385,285,68,143,162,68
853,69,166,384,289,70,138,163,70
854,69,198,385,290,70,140,163,70
855,69,199,380,284,68,139,162,68
856,69,233,385,289,68,143,162,68
857,69,234,386,291,72,138,164,72
858,69,240,386,285,68,144,162,68
859,69,241,387,292,70,142,163,70
860,69,249,387,294,72,139,164,72
861,69,251,392,294,70,145,165,70
862,69,252,377,286,72,129,164,72
863,69,254,382,285,68,141,162,68
864,69,256,386,286,68,144,162,68
865,69,261,388,290,70,142,165,70
866,69,262,386,294,72,138,164,72
867,69,263,385,289,70,140,163,70
868,69,302,383,284,68,141,162,68
869,69,306,385,290,72,136,164,72
870,69,317,387,287,68,145,162,68
871,69,325,378,280,68,137,162,68
872,69,334,382,285,68,141,162,68
873,69,335,382,285,68,140,162,68
874,69,336,386,296,72,138,164,72
875,69,337,383,288,70,138,163,70
876,69,342,385,290,70,140,163,70
877,69,345,385,289,70,140,163,70
878,69,346,384,293,72,136,164,72
879,69,351,389,291,70,143,165,70
880,69,353,385,290,70,140,163,70
881,69,354,385,292,72,137,164,72
882,69,365,384,288,68,143,162,68
883,69,380,383,290,72,135,164,72
884,69,383,380,287,72,132,164,72
885,69,404,391,291,70,144,165,70
886,69,406,378,288,72,130,164,72
887,69,411,379,287,72,132,164,72
888,69,416,384,289,70,140,163,70
889,69,419,382,288,70,138,163,70
890,69,420,390,295,70,144,163,70
891,69,421,381,292,72,133,164,72
892,69,424,382,283,68,141,162,68
893,69,425,384,288,70,139,163,70
894,69,426,383,290,72,134,164,72
895,69,428,376,286,72,128,164,72
896,69,435,384,285,68,143,162,68
897,74,77,376,282,68,136,162,68
898,74,81,373,280,68,133,162,68
899,74,82,376,284,68,136,162,68
900,74,83,379,291,70,135,163,70
901,74,84,373,280,68,134,162,68
902,74,85,374,280,68,135,162,68
903,74,93,382,290,70,138,165,70
904,74,98,388,295,72,139,165,72
905,74,99,387,295,72,139,165,72
906,74,104,372,279,68,133,162,68
907,74,106,374,283,70,132,163,70
908,74,107,382,293,72,134,165,72
909,74,109,384,293,72,137,165,72
910,74,113,376,288,70,133,163,70
911,74,114,377,284,68,137,162,68
912,74,115,387,295,72,138,165,72
913,74,117,382,288,70,138,165,70
914,74,165,377,282,68,137,162,68
915,74,166,376,286,70,132,163,70
916,74,198,376,282,68,137,162,68
917,74,199,381,293,72,133,165,72
918,74,233,387,298,72,139,165,72
919,74,234,377,286,68,137,162,68
920,74,240,376,282,68,136,162,68
921,74,241,375,286,68,135,162,68
922,74,249,375,285,68,135,162,68
923,74,251,377,285,68,137,162,68
924,74,252,382,292,72,134,165,72
925,74,254,374,282,68,135,162,68
926,74,256,376,283,68,136,162,68
927,74,261,377,283,68,138,162,68
928,74,262,379,288,70,135,163,70
929,74,263,376,283,68,136,162,68
930,74,302,500,317,104,155,233,104
931,74,306,376,286,70,133,163,70
932,74,317,377,284,68,137,162,68
933,74,325,366,275,68,127,162,68
934,74,334,374,282,68,135,162,68
935,74,335,372,282,68,132,162,68
936,74,336,384,292,70,140,165,70
937,74,337,373,285,70,130,163,70
938,74,342,376,283,68,137,162,68
939,74,345,373,281,68,134,162,68
940,74,346,376,282,68,136,162,68
941,74,351,387,296,72,139,165,72
942,74,353,379,289,70,136,163,70
943,74,354,379,290,70,136,163,70
944,74,365,374,283,68,135,162,68
945,74,380,375,280,68,136,162,68
946,74,383,372,283,70,129,163,70
947,74,404,376,282,68,136,162,68
948,74,406,381,292,72,133,165,72
949,74,411,370,278,68,131,162,68
950,74,416,377,284,68,138,162,68
951,74,419,380,288,70,136,165,70
952,74,420,387,294,70,142,165,70
953,74,421,376,286,70,133,163,70
954,74,424,381,287,70,137,165,70
955,74,425,374,285,70,131,163,70
956,74,426,374,279,68,135,162,68
957,74,428,370,277,68,131,162,68
958,74,435,376,282,68,137,162,68
959,77,81,378,286,72,131,165,72
960,77,82,377,287,70,134,163,70
961,77,83,382,292,70,138,163,70
962,77,84,372,279,68,133,162,68
963,77,85,374,283,70,132,163,70
964,77,93,378,289,72,132,165,72
965,77,98,378,283,68,138,162,68
966,77,99,379,288,70,134,165,70
967,77,104,379,286,72,132,165,72
968,77,106,376,281,68,137,162,68
969,77,107,376,283,68,136,162,68
970,77,109,380,290,72,134,165,72
971,77,113,379,291,72,133,165,72
972,77,114,377,286,70,134,163,70
973,77,115,375,283,68,135,162,68
974,77,117,374,280,68,135,162,68
975,77,165,383,290,72,135,165,72
976,77,166,375,282,68,135,162,68
977,77,198,378,285,70,134,165,70
978,77,199,371,283,70,128,163,70
979,77,233,381,293,72,134,165,72
980,77,234,378,285,68,138,162,68
981,77,240,376,284,70,133,163,70
982,77,241,378,287,68,138,162,68
983,77,249,384,293,72,137,165,72
984,77,251,380,289,70,136,163,70
985,77,252,369,278,68,130,162,68
986,77,254,374,286,70,132,163,70
987,77,256,378,287,70,135,163,70
988,77,261,378,286,70,135,163,70
989,77,262,380,284,68,140,162,68
990,77,263,379,284,68,139,162,68
991,77,302,373,283,70,129,163,70
992,77,306,374,281,68,135,162,68
993,77,317,381,290,72,134,165,72
994,77,325,377,287,72,130,165,72
995,77,334,373,281,68,134,162,68
996,77,335,378,287,70,134,163,70
997,77,336,379,290,70,136,163,70
998,77,337,378,285,70,133,165,70
999,77,342,377,284,68,138,162,68
1000,77,345,382,292,72,135,165,72
1001,77,346,380,287,70,136,163,70
1002,77,351,377,283,68,138,162,68
1003,77,353,378,288,70,135,163,70
1004,77,354,380,285,68,140,162,68
1005,77,365,377,288,70,134,163,70
1006,77,380,374,283,70,132,163,70
1007,77,383,377,286,72,130,165,72
1008,77,404,378,286,70,135,163,70
1009,77,406,375,285,70,132,163,70
1010,77,411,369,277,68,130,162,68
1011,77,416,375,285,70,133,163,70
1012,77,419,373,284,70,131,163,70
1013,77,420,379,286,68,139,162,68
1014,77,421,374,280,68,135,162,68
1015,77,424,373,279,68,134,162,68
1016,77,425,374,282,68,134,162,68
1017,77,426,374,283,70,131,163,70
1018,77,428,371,278,68,132,162,68
1019,77,435,377,283,68,138,162,68
1020,81,82,375,289,72,128,165,72
1021,81,83,375,284,70,132,162,70
1022,81,84,375,280,70,131,164,70
1023,81,85,369,277,70,128,162,70
1024,81,93,368,278,70,127,162,70
1025,81,98,385,294,72,137,165,72
1026,81,99,371,278,68,132,161,68
1027,81,104,366,272,68,128,161,68
1028,81,106,371,275,68,133,161,68
1029,81,107,377,290,72,130,165,72
1030,81,109,371,279,70,129,162,70
1031,81,113,372,281,70,130,162,70
1032,81,114,370,278,70,128,162,70
1033,81,115,373,281,70,130,162,70
1034,81,117,377,281,70,133,164,70
1035,81,165,371,275,68,132,161,68
1036,81,166,368,274,68,129,161,68
1037,81,198,382,293,72,134,165,72
1038,81,199,376,290,72,129,165,72
1039,81,233,371,279,68,132,161,68
1040,81,234,374,281,70,132,162,70
1041,81,240,381,291,72,135,165,72
1042,81,241,371,279,68,132,161,68
1043,81,249,375,282,70,132,162,70
1044,81,251,371,276,68,132,161,68
1045,81,252,365,275,70,124,162,70
1046,81,254,377,290,72,130,165,72
1047,81,256,372,276,68,133,161,68
1048,81,261,387,295,72,140,165,72
1049,81,262,373,276,68,134,161,68
1050,81,263,380,291,72,134,165,72
1051,81,302,369,274,68,130,161,68
