,A,B,gates,depth,2-gates,Gates
115,32,254,368,279,70,"Counter({'sx': 161, 'rz': 127, 'cz': 70, 'x': 6, 'measure': 4})"
116,32,256,378,282,70,"Counter({'sx': 163, 'rz': 134, 'cz': 70, 'x': 7, 'measure': 4})"
117,32,261,372,277,68,"Counter({'sx': 160, 'rz': 134, 'cz': 68, 'x': 6, 'measure': 4})"
118,32,262,378,284,70,"Counter({'sx': 161, 'rz': 135, 'cz': 70, 'x': 8, 'measure': 4})"
119,32,263,372,280,70,"Counter({'sx': 161, 'rz': 130, 'cz': 70, 'x': 7, 'measure': 4})"
120,32,302,370,275,68,"Counter({'sx': 160, 'rz': 131, 'cz': 68, 'x': 7, 'measure': 4})"
121,32,306,373,282,70,"Counter({'sx': 161, 'rz': 131, 'cz': 70, 'x': 7, 'measure': 4})"
122,32,317,379,283,70,"Counter({'sx': 163, 'rz': 135, 'cz': 70, 'x': 7, 'measure': 4})"
123,32,325,365,271,68,"Counter({'sx': 160, 'rz': 127, 'cz': 68, 'x': 6, 'measure': 4})"
124,32,334,370,280,70,"Counter({'sx': 161, 'rz': 128, 'cz': 70, 'x': 7, 'measure': 4})"
125,32,335,374,282,70,"Counter({'sx': 161, 'rz': 131, 'cz': 70, 'x': 8, 'measure': 4})"
126,32,336,375,285,70,"Counter({'sx': 161, 'rz': 133, 'cz': 70, 'x': 7, 'measure': 4})"
127,32,337,372,281,70,"Counter({'sx': 161, 'rz': 130, 'cz': 70, 'x': 7, 'measure': 4})"
128,32,342,371,277,68,"Counter({'sx': 160, 'rz': 133, 'cz': 68, 'x': 6, 'measure': 4})"
129,32,345,377,282,70,"Counter({'sx': 163, 'rz': 134, 'cz': 70, 'x': 6, 'measure': 4})"
130,32,346,375,278,68,"Counter({'sx': 160, 'rz': 136, 'cz': 68, 'x': 7, 'measure': 4})"
131,32,351,374,282,70,"Counter({'sx': 161, 'rz': 132, 'cz': 70, 'x': 7, 'measure': 4})"
132,32,353,380,290,72,"Counter({'sx': 165, 'rz': 134, 'cz': 72, 'x': 5, 'measure': 4})"
133,32,354,376,284,70,"Counter({'sx': 161, 'rz': 134, 'cz': 70, 'x': 7, 'measure': 4})"
134,32,365,373,283,70,"Counter({'sx': 161, 'rz': 131, 'cz': 70, 'x': 7, 'measure': 4})"
135,32,380,370,278,70,"Counter({'sx': 161, 'rz': 129, 'cz': 70, 'x': 6, 'measure': 4})"
136,32,383,369,277,70,"Counter({'sx': 161, 'rz': 127, 'cz': 70, 'x': 7, 'measure': 4})"
137,32,404,373,276,68,"Counter({'sx': 160, 'rz': 134, 'cz': 68, 'x': 7, 'measure': 4})"
