,A,B,gates,depth,2-gates,Gates
109,32,234,568,405,108,"Counter({'sx': 244, 'rz': 192, 'cz': 108, 'x': 20, 'measure': 4})"
110,32,240,569,403,108,"Counter({'sx': 244, 'rz': 191, 'cz': 108, 'x': 22, 'measure': 4})"
111,32,241,582,400,106,"Counter({'sx': 248, 'rz': 203, 'cz': 106, 'x': 21, 'measure': 4})"
112,32,249,578,395,106,"Counter({'sx': 248, 'rz': 200, 'cz': 106, 'x': 20, 'measure': 4})"
113,32,251,578,394,106,"Counter({'sx': 248, 'rz': 198, 'cz': 106, 'x': 22, 'measure': 4})"
114,32,252,566,403,108,"Counter({'sx': 244, 'rz': 190, 'cz': 108, 'x': 20, 'measure': 4})"
115,32,254,576,394,106,"Counter({'sx': 248, 'rz': 198, 'cz': 106, 'x': 20, 'measure': 4})"
116,32,256,582,396,106,"Counter({'sx': 248, 'rz': 203, 'cz': 106, 'x': 21, 'measure': 4})"
117,32,261,572,407,108,"Counter({'sx': 244, 'rz': 194, 'cz': 108, 'x': 22, 'measure': 4})"
118,32,262,572,406,108,"Counter({'sx': 244, 'rz': 195, 'cz': 108, 'x': 21, 'measure': 4})"
119,32,263,592,404,108,"Counter({'sx': 253, 'rz': 206, 'cz': 108, 'x': 21, 'measure': 4})"
120,32,302,575,392,106,"Counter({'sx': 248, 'rz': 197, 'cz': 106, 'x': 20, 'measure': 4})"
121,32,306,578,398,106,"Counter({'sx': 248, 'rz': 200, 'cz': 106, 'x': 20, 'measure': 4})"
122,32,317,572,405,108,"Counter({'sx': 244, 'rz': 194, 'cz': 108, 'x': 22, 'measure': 4})"
123,32,325,574,390,106,"Counter({'sx': 248, 'rz': 194, 'cz': 106, 'x': 22, 'measure': 4})"
124,32,334,569,405,108,"Counter({'sx': 244, 'rz': 191, 'cz': 108, 'x': 22, 'measure': 4})"
125,32,335,571,407,108,"Counter({'sx': 244, 'rz': 195, 'cz': 108, 'x': 20, 'measure': 4})"
126,32,336,580,413,110,"Counter({'sx': 245, 'rz': 199, 'cz': 110, 'x': 22, 'measure': 4})"
127,32,337,569,405,108,"Counter({'sx': 244, 'rz': 193, 'cz': 108, 'x': 20, 'measure': 4})"
128,32,342,577,412,110,"Counter({'sx': 243, 'rz': 196, 'cz': 110, 'x': 24, 'measure': 4})"
129,32,345,570,406,108,"Counter({'sx': 244, 'rz': 193, 'cz': 108, 'x': 21, 'measure': 4})"
130,32,346,584,416,110,"Counter({'sx': 245, 'rz': 203, 'cz': 110, 'x': 22, 'measure': 4})"
131,32,351,582,414,110,"Counter({'sx': 245, 'rz': 200, 'cz': 110, 'x': 23, 'measure': 4})"
132,32,353,580,411,110,"Counter({'sx': 245, 'rz': 197, 'cz': 110, 'x': 24, 'measure': 4})"
133,32,354,579,394,106,"Counter({'sx': 248, 'rz': 199, 'cz': 106, 'x': 22, 'measure': 4})"
134,32,365,578,396,106,"Counter({'sx': 248, 'rz': 200, 'cz': 106, 'x': 20, 'measure': 4})"
135,32,380,579,397,106,"Counter({'sx': 248, 'rz': 200, 'cz': 106, 'x': 21, 'measure': 4})"
136,32,383,578,391,106,"Counter({'sx': 248, 'rz': 198, 'cz': 106, 'x': 22, 'measure': 4})"
137,32,404,582,397,106,"Counter({'sx': 248, 'rz': 203, 'cz': 106, 'x': 21, 'measure': 4})"
138,32,406,577,390,106,"Counter({'sx': 248, 'rz': 197, 'cz': 106, 'x': 22, 'measure': 4})"
139,32,411,589,404,108,"Counter({'sx': 253, 'rz': 204, 'cz': 108, 'x': 20, 'measure': 4})"
140,32,416,577,395,106,"Counter({'sx': 248, 'rz': 198, 'cz': 106, 'x': 21, 'measure': 4})"
141,32,419,579,394,106,"Counter({'sx': 248, 'rz': 200, 'cz': 106, 'x': 21, 'measure': 4})"
142,32,420,572,408,108,"Counter({'sx': 244, 'rz': 195, 'cz': 108, 'x': 21, 'measure': 4})"
143,32,421,590,403,108,"Counter({'sx': 253, 'rz': 204, 'cz': 108, 'x': 21, 'measure': 4})"
144,32,424,575,411,110,"Counter({'sx': 245, 'rz': 195, 'cz': 110, 'x': 21, 'measure': 4})"
145,32,425,572,409,108,"Counter({'sx': 244, 'rz': 195, 'cz': 108, 'x': 21, 'measure': 4})"
146,32,426,579,394,106,"Counter({'sx': 248, 'rz': 200, 'cz': 106, 'x': 21, 'measure': 4})"
147,32,428,568,403,108,"Counter({'sx': 244, 'rz': 190, 'cz': 108, 'x': 22, 'measure': 4})"
148,32,435,591,401,108,"Counter({'sx': 253, 'rz': 204, 'cz': 108, 'x': 22, 'measure': 4})"
149,35,36,575,393,106,"Counter({'sx': 247, 'rz': 196, 'cz': 106, 'x': 22, 'measure': 4})"
150,35,37,570,408,110,"Counter({'sx': 242, 'rz': 192, 'cz': 110, 'x': 22, 'measure': 4})"
151,35,50,568,403,108,"Counter({'sx': 243, 'rz': 193, 'cz': 108, 'x': 20, 'measure': 4})"
152,35,53,572,412,110,"Counter({'sx': 242, 'rz': 195, 'cz': 110, 'x': 21, 'measure': 4})"
153,35,55,582,396,106,"Counter({'sx': 247, 'rz': 202, 'cz': 106, 'x': 23, 'measure': 4})"
154,35,57,569,407,110,"Counter({'sx': 242, 'rz': 191, 'cz': 110, 'x': 22, 'measure': 4})"
155,35,59,583,396,106,"Counter({'sx': 247, 'rz': 203, 'cz': 106, 'x': 23, 'measure': 4})"
156,35,63,569,403,108,"Counter({'sx': 243, 'rz': 194, 'cz': 108, 'x': 20, 'measure': 4})"
157,35,67,572,402,108,"Counter({'sx': 243, 'rz': 195, 'cz': 108, 'x': 22, 'measure': 4})"
158,35,69,571,403,108,"Counter({'sx': 243, 'rz': 196, 'cz': 108, 'x': 20, 'measure': 4})"
159,35,74,581,399,106,"Counter({'sx': 247, 'rz': 203, 'cz': 106, 'x': 21, 'measure': 4})"
160,35,77,569,409,110,"Counter({'sx': 242, 'rz': 192, 'cz': 110, 'x': 21, 'measure': 4})"
161,35,81,586,402,108,"Counter({'sx': 252, 'rz': 201, 'cz': 108, 'x': 21, 'measure': 4})"
162,35,82,583,397,106,"Counter({'sx': 247, 'rz': 204, 'cz': 106, 'x': 22, 'measure': 4})"
163,35,83,568,403,108,"Counter({'sx': 243, 'rz': 194, 'cz': 108, 'x': 19, 'measure': 4})"
164,35,84,569,402,108,"Counter({'sx': 243, 'rz': 194, 'cz': 108, 'x': 20, 'measure': 4})"
165,35,85,580,395,106,"Counter({'sx': 247, 'rz': 201, 'cz': 106, 'x': 22, 'measure': 4})"
166,35,93,579,396,106,"Counter({'sx': 247, 'rz': 200, 'cz': 106, 'x': 22, 'measure': 4})"
167,35,98,576,395,106,"Counter({'sx': 245, 'rz': 197, 'cz': 106, 'x': 24, 'measure': 4})"
168,35,99,580,398,106,"Counter({'sx': 247, 'rz': 201, 'cz': 106, 'x': 22, 'measure': 4})"
