,A,B,gates,depth,2-gates,RZ,SX,CZ
473,53,262,381,287,70,134,165,70
474,53,263,379,287,70,133,163,70
475,53,302,382,289,72,131,166,72
476,53,306,379,285,70,133,163,70
477,53,317,382,288,70,136,163,70
478,53,325,376,284,70,130,163,70
479,53,334,382,286,70,135,165,70
480,53,335,379,284,68,136,162,68
481,53,336,384,291,70,138,163,70
482,53,337,380,284,68,137,162,68
483,53,342,379,281,68,137,162,68
484,53,345,379,282,68,137,162,68
485,53,346,387,293,72,135,166,72
486,53,351,383,290,70,136,163,70
487,53,353,382,289,70,135,163,70
488,53,354,382,289,70,136,163,70
489,53,365,384,289,70,136,165,70
490,53,380,380,285,70,133,165,70
491,53,383,376,283,70,131,163,70
492,53,404,380,287,70,134,163,70
493,53,406,377,280,68,134,162,68
494,53,411,381,282,68,138,162,68
495,53,416,378,284,68,135,162,68
496,53,419,384,285,68,141,162,68
497,53,420,387,295,72,136,166,72
498,53,421,384,286,70,137,165,70
499,53,424,380,287,70,134,163,70
500,53,425,384,290,70,137,163,70
501,53,426,380,282,68,137,162,68
502,53,428,377,282,68,134,162,68
503,53,435,380,286,70,135,163,70
504,55,57,376,288,70,133,163,70
505,55,59,386,296,72,136,166,72
506,55,63,375,284,68,136,162,68
507,55,67,380,288,70,135,165,70
508,55,69,381,290,70,138,163,70
509,55,74,377,289,70,134,163,70
510,55,77,380,285,68,140,162,68
511,55,81,378,289,72,130,166,72
512,55,82,376,283,68,137,162,68
513,55,83,382,291,70,139,163,70
514,55,84,374,285,70,132,163,70
515,55,85,381,292,72,133,166,72
516,55,93,376,284,68,137,162,68
517,55,98,382,292,70,139,163,70
518,55,99,376,287,68,136,162,68
519,55,104,374,282,68,135,162,68
520,55,106,377,286,68,138,162,68
521,55,107,375,284,68,136,162,68
522,55,109,380,288,70,134,165,70
523,55,113,380,287,68,141,162,68
524,55,114,378,288,68,139,162,68
525,55,115,384,291,70,138,165,70
526,55,117,378,288,68,138,162,68
527,55,165,378,289,70,135,163,70
528,55,166,377,288,70,134,163,70
529,55,198,377,289,70,134,163,70
530,55,199,374,285,68,134,162,68
531,55,233,379,285,68,140,162,68
532,55,234,377,288,70,135,163,70
533,55,240,376,287,70,134,163,70
534,55,241,380,289,68,140,162,68
535,55,249,381,291,70,138,163,70
