,A,B,mean_value,fidelity,probs
34,23,84,3.814697265624983e-06,0.9968274535260045,"[1.66128970e-03 1.70005264e-03 1.69990268e-03 ... 2.67975434e-10
 1.34221253e-10 6.61605508e-12]"
35,84,23,3.814697265624983e-06,0.9968274535260045,"[1.66128970e-03 1.70005264e-03 1.69990268e-03 ... 2.67975434e-10
 1.34221253e-10 6.61605508e-12]"
36,23,85,3.814697265624984e-06,0.9954389072399188,"[1.65598890e-03 1.68880735e-03 1.67796330e-03 ... 2.88507906e-10
 1.62017921e-10 2.68373842e-12]"
37,85,23,3.814697265624984e-06,0.9954389072399188,"[1.65598890e-03 1.68880735e-03 1.67796330e-03 ... 2.88507906e-10
 1.62017921e-10 2.68373842e-12]"
38,23,93,3.814697265624983e-06,0.9952784458250137,"[1.67191452e-03 1.69735904e-03 1.69594774e-03 ... 1.92428230e-10
 1.15912537e-10 9.40789318e-12]"
39,93,23,3.814697265624983e-06,0.9952784458250137,"[1.67191452e-03 1.69735904e-03 1.69594774e-03 ... 1.92428230e-10
 1.15912537e-10 9.40789318e-12]"
40,23,98,3.8146972656249822e-06,0.9986273208965091,"[1.66715106e-03 1.70952868e-03 1.70161369e-03 ... 2.36514251e-10
 1.14712686e-10 7.46227406e-12]"
41,98,23,3.8146972656249822e-06,0.9986273208965091,"[1.66715106e-03 1.70952868e-03 1.70161369e-03 ... 2.36514251e-10
 1.14712686e-10 7.46227406e-12]"
42,23,99,3.8146972656249835e-06,0.997694195707692,"[1.67203402e-03 1.70642736e-03 1.69848532e-03 ... 2.38525433e-10
 1.26428969e-10 6.88455307e-12]"
43,99,23,3.8146972656249835e-06,0.997694195707692,"[1.67203402e-03 1.70642736e-03 1.69848532e-03 ... 2.38525433e-10
 1.26428969e-10 6.88455307e-12]"
44,23,104,3.814697265624983e-06,0.9982729675740925,"[1.66895968e-03 1.70830181e-03 1.69222453e-03 ... 3.41864336e-10
 1.69591923e-10 5.39051576e-12]"
45,104,23,3.814697265624983e-06,0.9982729675740925,"[1.66895968e-03 1.70830181e-03 1.69222453e-03 ... 3.41864336e-10
 1.69591923e-10 5.39051576e-12]"
46,23,106,3.814697265624983e-06,0.9962716078927005,"[1.67538937e-03 1.70652587e-03 1.69793199e-03 ... 2.05268549e-10
 1.14137534e-10 1.15421027e-11]"
47,106,23,3.814697265624983e-06,0.9962716078927005,"[1.67538937e-03 1.70652587e-03 1.69793199e-03 ... 2.05268549e-10
 1.14137534e-10 1.15421027e-11]"
48,23,107,3.814697265624981e-06,0.9989129307583879,"[1.67104000e-03 1.71271873e-03 1.70239552e-03 ... 2.70300493e-10
 1.30456731e-10 7.01178849e-12]"
49,107,23,3.814697265624981e-06,0.9989129307583879,"[1.67104000e-03 1.71271873e-03 1.70239552e-03 ... 2.70300493e-10
 1.30456731e-10 7.01178849e-12]"
50,23,109,3.814697265624983e-06,0.9975785878057805,"[1.66993096e-03 1.70659171e-03 1.69936430e-03 ... 3.03703857e-10
 1.58786671e-10 5.51966895e-12]"
51,109,23,3.814697265624983e-06,0.9975785878057805,"[1.66993096e-03 1.70659171e-03 1.69936430e-03 ... 3.03703857e-10
 1.58786671e-10 5.51966895e-12]"
52,23,113,3.814697265624986e-06,0.9942538742382094,"[1.67029051e-03 1.70337244e-03 1.69487193e-03 ... 2.07451140e-10
 1.12670802e-10 1.10381126e-11]"
53,113,23,3.814697265624986e-06,0.9942538742382094,"[1.67029051e-03 1.70337244e-03 1.69487193e-03 ... 2.07451140e-10
 1.12670802e-10 1.10381126e-11]"
54,23,114,3.8146972656249835e-06,0.9985746224746042,"[1.67056472e-03 1.70859991e-03 1.69774803e-03 ... 2.48999020e-10
 1.24884261e-10 6.71188183e-12]"
55,114,23,3.8146972656249835e-06,0.9985746224746042,"[1.67056472e-03 1.70859991e-03 1.69774803e-03 ... 2.48999020e-10
 1.24884261e-10 6.71188183e-12]"
56,23,115,3.8146972656249843e-06,0.9919664928287815,"[1.62668291e-03 1.65388849e-03 1.68867111e-03 ... 3.84523982e-10
 2.38299515e-10 9.39931926e-12]"
57,115,23,3.8146972656249843e-06,0.9919664928287815,"[1.62668291e-03 1.65388849e-03 1.68867111e-03 ... 3.84523982e-10
 2.38299515e-10 9.39931926e-12]"
58,23,117,3.814697265624983e-06,0.9979599422000213,"[1.66929257e-03 1.71513983e-03 1.69847097e-03 ... 2.23861572e-10
 9.81742626e-11 1.41316898e-11]"
59,117,23,3.814697265624983e-06,0.9979599422000213,"[1.66929257e-03 1.71513983e-03 1.69847097e-03 ... 2.23861572e-10
 9.81742626e-11 1.41316898e-11]"
60,23,165,3.8146972656249835e-06,0.9958748346729992,"[1.65904110e-03 1.69489583e-03 1.68653587e-03 ... 3.69097058e-10
 1.86858903e-10 4.16147148e-12]"
61,165,23,3.8146972656249835e-06,0.9958748346729992,"[1.65904110e-03 1.69489583e-03 1.68653587e-03 ... 3.69097058e-10
 1.86858903e-10 4.16147148e-12]"
62,23,166,3.8146972656249848e-06,0.9956226257783025,"[1.66605395e-03 1.71631309e-03 1.68512585e-03 ... 2.00538717e-10
 7.80768585e-11 2.70738942e-11]"
63,166,23,3.8146972656249848e-06,0.9956226257783025,"[1.66605395e-03 1.71631309e-03 1.68512585e-03 ... 2.00538717e-10
 7.80768585e-11 2.70738942e-11]"
64,23,198,3.8146972656249822e-06,0.9959410195880558,"[1.67086345e-03 1.71117776e-03 1.70333988e-03 ... 1.89863944e-10
 9.18017515e-11 1.71725069e-11]"
65,198,23,3.8146972656249822e-06,0.9959410195880558,"[1.67086345e-03 1.71117776e-03 1.70333988e-03 ... 1.89863944e-10
 9.18017515e-11 1.71725069e-11]"
66,23,199,3.8146972656249826e-06,0.9982671799952283,"[1.67253554e-03 1.70976036e-03 1.69811435e-03 ... 2.29839855e-10
 1.16351058e-10 8.73002591e-12]"
67,199,23,3.8146972656249826e-06,0.9982671799952283,"[1.67253554e-03 1.70976036e-03 1.69811435e-03 ... 2.29839855e-10
 1.16351058e-10 8.73002591e-12]"
68,23,233,3.814697265624983e-06,0.9966841614532389,"[1.66469381e-03 1.70171174e-03 1.70629745e-03 ... 2.45071642e-10
 1.31262267e-10 4.96927623e-12]"
69,233,23,3.814697265624983e-06,0.9966841614532389,"[1.66469381e-03 1.70171174e-03 1.70629745e-03 ... 2.45071642e-10
 1.31262267e-10 4.96927623e-12]"
70,23,234,3.814697265624984e-06,0.9980383521148602,"[1.67536310e-03 1.71021723e-03 1.70171092e-03 ... 2.74293277e-10
 1.46585990e-10 5.50248098e-12]"
71,234,23,3.814697265624984e-06,0.9980383521148602,"[1.67536310e-03 1.71021723e-03 1.70171092e-03 ... 2.74293277e-10
 1.46585990e-10 5.50248098e-12]"
72,23,240,3.8146972656249826e-06,0.9980452291049533,"[1.66949252e-03 1.70027073e-03 1.70846846e-03 ... 2.70726539e-10
 1.54277619e-10 3.07625864e-12]"
73,240,23,3.8146972656249826e-06,0.9980452291049533,"[1.66949252e-03 1.70027073e-03 1.70846846e-03 ... 2.70726539e-10
 1.54277619e-10 3.07625864e-12]"
74,23,241,3.814697265624986e-06,0.9956294040432522,"[1.66927083e-03 1.69927032e-03 1.68807463e-03 ... 2.18919953e-10
 1.19421553e-10 8.77059508e-12]"
75,241,23,3.814697265624986e-06,0.9956294040432522,"[1.66927083e-03 1.69927032e-03 1.68807463e-03 ... 2.18919953e-10
 1.19421553e-10 8.77059508e-12]"
76,23,249,3.8146972656249805e-06,0.997704677036757,"[1.67240166e-03 1.71349466e-03 1.69462844e-03 ... 2.47260930e-10
 1.17027066e-10 1.25393591e-11]"
77,249,23,3.8146972656249805e-06,0.997704677036757,"[1.67240166e-03 1.71349466e-03 1.69462844e-03 ... 2.47260930e-10
 1.17027066e-10 1.25393591e-11]"
78,23,251,3.814697265624983e-06,0.997484680421877,"[1.67154494e-03 1.71157397e-03 1.69547223e-03 ... 2.29239772e-10
 1.11658469e-10 1.18625257e-11]"
79,251,23,3.814697265624983e-06,0.997484680421877,"[1.67154494e-03 1.71157397e-03 1.69547223e-03 ... 2.29239772e-10
 1.11658469e-10 1.18625257e-11]"
