,A,B,exp_value,fidelity
232,32,256,0.9768010316204505,0.9884005158102253
233,256,32,0.9768010316204505,0.9884005158102253
234,32,261,0.9812234792095862,0.9906117396047931
235,261,32,0.9812234792095862,0.9906117396047931
236,32,262,0.9833257965105655,0.9916628982552828
237,262,32,0.9833257965105655,0.9916628982552828
238,32,263,0.9775196521672898,0.9887598260836449
239,263,32,0.9775196521672898,0.9887598260836449
240,32,302,0.9753480376986878,0.9876740188493439
241,302,32,0.9753480376986878,0.9876740188493439
242,32,306,0.9706393401889305,0.9853196700944653
243,306,32,0.9706393401889305,0.9853196700944653
244,32,317,0.9879877681667466,0.9939938840833733
245,317,32,0.9879877681667466,0.9939938840833733
246,32,325,0.9518890218799616,0.9759445109399808
247,325,32,0.9518890218799616,0.9759445109399808
248,32,334,0.9697895121176314,0.9848947560588157
249,334,32,0.9697895121176314,0.9848947560588157
250,32,335,0.9539241864498633,0.9769620932249317
251,335,32,0.9539241864498633,0.9769620932249317
252,32,336,0.8831042729562453,0.9415521364781226
253,336,32,0.8831042729562453,0.9415521364781226
254,32,337,0.9766079790307315,0.9883039895153658
255,337,32,0.9766079790307315,0.9883039895153658
256,32,342,0.9794907790651093,0.9897453895325546
257,342,32,0.9794907790651093,0.9897453895325546
258,32,345,0.9878793354262719,0.993939667713136
259,345,32,0.9878793354262719,0.993939667713136
260,32,346,0.979737504777284,0.989868752388642
261,346,32,0.979737504777284,0.989868752388642
262,32,351,0.9733188359803382,0.9866594179901691
263,351,32,0.9733188359803382,0.9866594179901691
264,32,353,0.9860817479184422,0.9930408739592211
265,353,32,0.9860817479184422,0.9930408739592211
266,32,354,0.982186216249165,0.9910931081245825
267,354,32,0.982186216249165,0.9910931081245825
268,32,365,0.9418879726727936,0.9709439863363968
269,365,32,0.9418879726727936,0.9709439863363968
270,32,380,0.9811967375589317,0.9905983687794658
271,380,32,0.9811967375589317,0.9905983687794658
272,32,383,0.9733165018851679,0.986658250942584
273,383,32,0.9733165018851679,0.986658250942584
274,32,404,0.9895190359240912,0.9947595179620456
275,404,32,0.9895190359240912,0.9947595179620456
276,32,406,0.9099497735346597,0.9549748867673298
277,406,32,0.9099497735346597,0.9549748867673298
278,32,411,0.9834237258286179,0.9917118629143089
279,411,32,0.9834237258286179,0.9917118629143089
280,32,416,0.9837068682958341,0.991853434147917
281,416,32,0.9837068682958341,0.991853434147917
282,32,419,0.9819055507011798,0.9909527753505899
283,419,32,0.9819055507011798,0.9909527753505899
284,32,420,0.9802091946296685,0.9901045973148342
285,420,32,0.9802091946296685,0.9901045973148342
286,32,421,0.9495819099791492,0.9747909549895746
287,421,32,0.9495819099791492,0.9747909549895746
288,32,424,0.9573638603748648,0.9786819301874323
289,424,32,0.9573638603748648,0.9786819301874323
290,32,425,0.9749219733709531,0.9874609866854765
291,425,32,0.9749219733709531,0.9874609866854765
