,A,B,gates,depth,2-gates,RZ,SX,CZ
996,77,335,685,428,140,216,317,140
997,77,336,554,403,106,187,251,106
998,77,337,551,403,110,181,250,110
999,77,342,548,401,108,179,251,108
1000,77,345,546,400,108,177,251,108
1001,77,346,552,400,106,185,251,106
1002,77,351,558,405,108,189,250,108
1003,77,353,547,398,106,181,251,106
1004,77,354,552,406,110,182,250,110
1005,77,365,551,399,106,184,251,106
1006,77,380,548,400,106,182,251,106
1007,77,383,546,396,106,180,251,106
1008,77,404,552,402,108,184,250,108
1009,77,406,548,397,106,181,251,106
1010,77,411,544,397,108,176,251,108
1011,77,416,551,403,110,181,250,110
1012,77,419,548,399,106,182,251,106
1013,77,420,547,402,108,178,251,108
1014,77,421,545,400,108,176,251,108
1015,77,424,550,399,106,183,251,106
1016,77,425,545,397,106,179,251,106
1017,77,426,546,400,108,177,251,108
1018,77,428,541,396,108,173,251,108
1019,77,435,549,403,108,181,251,108
1020,81,82,548,402,110,177,250,110
1021,81,83,553,401,106,185,251,106
1022,81,84,552,400,106,184,251,106
1023,81,85,550,401,108,181,250,108
1024,81,93,550,402,110,179,250,110
1025,81,98,558,402,106,190,251,106
1026,81,99,549,402,108,180,251,108
1027,81,104,548,398,108,179,251,108
1028,81,106,551,399,106,184,251,106
1029,81,107,550,400,106,183,251,106
1030,81,109,552,400,106,185,251,106
1031,81,113,552,405,110,181,250,110
1032,81,114,548,399,108,179,251,108
1033,81,115,556,403,108,186,250,108
1034,81,117,547,397,106,180,251,106
1035,81,165,554,406,110,182,250,110
1036,81,166,550,400,108,180,251,108
1037,81,198,551,402,108,181,251,108
1038,81,199,549,397,106,181,251,106
1039,81,233,552,403,108,182,251,108
1040,81,234,551,399,106,184,251,106
1041,81,240,553,404,110,182,250,110
1042,81,241,553,403,106,186,251,106
1043,81,249,552,403,108,182,251,108
1044,81,251,554,403,108,184,250,108
1045,81,252,549,402,110,178,250,110
1046,81,254,549,399,106,182,251,106
1047,81,256,547,399,108,178,251,108
1048,81,261,557,401,106,189,251,106
1049,81,262,553,399,106,185,251,106
1050,81,263,549,398,106,182,251,106
1051,81,302,545,397,108,175,251,108
