,A,B,gates,depth,2-gates,Gates
122,32,317,544,396,106,"Counter({'sx': 249, 'rz': 179, 'cz': 106, 'x': 6, 'measure': 4})"
123,32,325,544,397,108,"Counter({'sx': 248, 'rz': 177, 'cz': 108, 'x': 7, 'measure': 4})"
124,32,334,547,396,106,"Counter({'sx': 249, 'rz': 181, 'cz': 106, 'x': 7, 'measure': 4})"
125,32,335,547,401,108,"Counter({'sx': 249, 'rz': 179, 'cz': 108, 'x': 7, 'measure': 4})"
126,32,336,551,406,110,"Counter({'sx': 248, 'rz': 181, 'cz': 110, 'x': 8, 'measure': 4})"
127,32,337,548,402,110,"Counter({'sx': 248, 'rz': 179, 'cz': 110, 'x': 7, 'measure': 4})"
128,32,342,545,395,106,"Counter({'sx': 249, 'rz': 179, 'cz': 106, 'x': 7, 'measure': 4})"
129,32,345,543,398,108,"Counter({'sx': 249, 'rz': 175, 'cz': 108, 'x': 7, 'measure': 4})"
130,32,346,551,400,106,"Counter({'sx': 249, 'rz': 185, 'cz': 106, 'x': 7, 'measure': 4})"
131,32,351,553,402,108,"Counter({'sx': 248, 'rz': 185, 'cz': 108, 'x': 8, 'measure': 4})"
132,32,353,546,400,110,"Counter({'sx': 248, 'rz': 177, 'cz': 110, 'x': 7, 'measure': 4})"
133,32,354,545,400,108,"Counter({'sx': 249, 'rz': 178, 'cz': 108, 'x': 6, 'measure': 4})"
134,32,365,548,397,106,"Counter({'sx': 249, 'rz': 182, 'cz': 106, 'x': 7, 'measure': 4})"
135,32,380,546,403,110,"Counter({'sx': 248, 'rz': 177, 'cz': 110, 'x': 7, 'measure': 4})"
136,32,383,540,394,108,"Counter({'sx': 249, 'rz': 173, 'cz': 108, 'x': 6, 'measure': 4})"
137,32,404,543,398,110,"Counter({'sx': 248, 'rz': 174, 'cz': 110, 'x': 7, 'measure': 4})"
138,32,406,545,400,110,"Counter({'sx': 248, 'rz': 175, 'cz': 110, 'x': 8, 'measure': 4})"
139,32,411,551,403,110,"Counter({'sx': 251, 'rz': 179, 'cz': 110, 'x': 7, 'measure': 4})"
140,32,416,546,400,110,"Counter({'sx': 248, 'rz': 177, 'cz': 110, 'x': 7, 'measure': 4})"
141,32,419,545,397,106,"Counter({'sx': 249, 'rz': 180, 'cz': 106, 'x': 6, 'measure': 4})"
142,32,420,548,398,106,"Counter({'sx': 249, 'rz': 182, 'cz': 106, 'x': 7, 'measure': 4})"
143,32,421,544,400,108,"Counter({'sx': 249, 'rz': 176, 'cz': 108, 'x': 7, 'measure': 4})"
144,32,424,545,401,108,"Counter({'sx': 249, 'rz': 177, 'cz': 108, 'x': 7, 'measure': 4})"
145,32,425,540,396,108,"Counter({'sx': 249, 'rz': 173, 'cz': 108, 'x': 6, 'measure': 4})"
146,32,426,547,396,106,"Counter({'sx': 249, 'rz': 181, 'cz': 106, 'x': 7, 'measure': 4})"
147,32,428,538,394,108,"Counter({'sx': 249, 'rz': 171, 'cz': 108, 'x': 6, 'measure': 4})"
148,32,435,546,401,108,"Counter({'sx': 249, 'rz': 179, 'cz': 108, 'x': 6, 'measure': 4})"
149,35,36,544,397,108,"Counter({'sx': 251, 'rz': 176, 'cz': 108, 'x': 5, 'measure': 4})"
150,35,37,549,401,110,"Counter({'sx': 250, 'rz': 180, 'cz': 110, 'x': 5, 'measure': 4})"
151,35,50,544,397,108,"Counter({'sx': 251, 'rz': 176, 'cz': 108, 'x': 5, 'measure': 4})"
152,35,53,557,405,108,"Counter({'sx': 250, 'rz': 189, 'cz': 108, 'x': 6, 'measure': 4})"
153,35,55,548,401,108,"Counter({'sx': 251, 'rz': 179, 'cz': 108, 'x': 6, 'measure': 4})"
154,35,57,546,398,108,"Counter({'sx': 251, 'rz': 178, 'cz': 108, 'x': 5, 'measure': 4})"
155,35,59,553,407,110,"Counter({'sx': 250, 'rz': 183, 'cz': 110, 'x': 6, 'measure': 4})"
156,35,63,549,396,106,"Counter({'sx': 251, 'rz': 182, 'cz': 106, 'x': 6, 'measure': 4})"
157,35,67,544,401,110,"Counter({'sx': 248, 'rz': 176, 'cz': 110, 'x': 6, 'measure': 4})"
158,35,69,548,401,108,"Counter({'sx': 251, 'rz': 180, 'cz': 108, 'x': 5, 'measure': 4})"
159,35,74,549,402,108,"Counter({'sx': 251, 'rz': 180, 'cz': 108, 'x': 6, 'measure': 4})"
160,35,77,544,397,108,"Counter({'sx': 251, 'rz': 176, 'cz': 108, 'x': 5, 'measure': 4})"
161,35,81,547,398,108,"Counter({'sx': 251, 'rz': 179, 'cz': 108, 'x': 5, 'measure': 4})"
162,35,82,543,396,106,"Counter({'sx': 251, 'rz': 177, 'cz': 106, 'x': 5, 'measure': 4})"
163,35,83,552,406,110,"Counter({'sx': 250, 'rz': 182, 'cz': 110, 'x': 6, 'measure': 4})"
164,35,84,549,402,108,"Counter({'sx': 251, 'rz': 180, 'cz': 108, 'x': 6, 'measure': 4})"
165,35,85,544,395,106,"Counter({'sx': 251, 'rz': 178, 'cz': 106, 'x': 5, 'measure': 4})"
166,35,93,546,399,110,"Counter({'sx': 250, 'rz': 177, 'cz': 110, 'x': 5, 'measure': 4})"
167,35,98,553,405,110,"Counter({'sx': 250, 'rz': 183, 'cz': 110, 'x': 6, 'measure': 4})"
168,35,99,546,400,108,"Counter({'sx': 251, 'rz': 178, 'cz': 108, 'x': 5, 'measure': 4})"
169,35,104,545,396,108,"Counter({'sx': 251, 'rz': 177, 'cz': 108, 'x': 5, 'measure': 4})"
170,35,106,548,397,106,"Counter({'sx': 251, 'rz': 182, 'cz': 106, 'x': 5, 'measure': 4})"
